Pointid,Grid_code,Longitude,Latitude,Elevation
1,1,119.39055048629785,26.09361027127146,710
2,1,119.39072696904836,26.09361027127146,712
3,1,119.39090345179886,26.09361027127146,714
4,1,119.39055048629785,26.093716717614104,700
5,1,119.39072696904836,26.093716717614104,709
6,1,119.39090345179886,26.093716717614104,713
7,1,119.39055048629785,26.093823163956746,700
8,1,119.39072696904836,26.093823163956746,709
9,1,119.39090345179886,26.093823163956746,713
10,2,119.39107993454937,26.09361027127146,714
11,2,119.39125641729987,26.09361027127146,718
12,2,119.39143290005038,26.09361027127146,719
13,2,119.39107993454937,26.093716717614104,713
14,2,119.39125641729987,26.093716717614104,716
15,2,119.39143290005038,26.093716717614104,719
16,2,119.39107993454937,26.093823163956746,713
17,2,119.39125641729987,26.093823163956746,716
18,2,119.39143290005038,26.093823163956746,719
19,3,119.3916093828009,26.09361027127146,719
20,3,119.3917858655514,26.09361027127146,723
21,3,119.3919623483019,26.09361027127146,729
22,3,119.3916093828009,26.093716717614104,719
23,3,119.3917858655514,26.093716717614104,723
24,3,119.3919623483019,26.093716717614104,729
25,3,119.3916093828009,26.093823163956746,719
26,3,119.3917858655514,26.093823163956746,723
27,3,119.3919623483019,26.093823163956746,729
28,4,119.3921388310524,26.09361027127146,729
29,4,119.39231531380291,26.09361027127146,734
30,4,119.39249179655341,26.09361027127146,734
31,4,119.3921388310524,26.093716717614104,729
32,4,119.39231531380291,26.093716717614104,736
33,4,119.39249179655341,26.093716717614104,736
34,4,119.3921388310524,26.093823163956746,729
35,4,119.39231531380291,26.093823163956746,736
36,4,119.39249179655341,26.093823163956746,736
37,5,119.39266827930392,26.09361027127146,743
38,5,119.39284476205442,26.09361027127146,749
39,5,119.39302124480493,26.09361027127146,749
40,5,119.39266827930392,26.093716717614104,744
41,5,119.39284476205442,26.093716717614104,750
42,5,119.39302124480493,26.093716717614104,750
43,5,119.39266827930392,26.093823163956746,744
44,5,119.39284476205442,26.093823163956746,750
45,5,119.39302124480493,26.093823163956746,750
46,6,119.39319772755543,26.09361027127146,752
47,6,119.39337421030594,26.09361027127146,756
48,6,119.39355069305644,26.09361027127146,756
49,6,119.39319772755543,26.093716717614104,755
50,6,119.39337421030594,26.093716717614104,760
51,6,119.39355069305644,26.093716717614104,760
52,6,119.39319772755543,26.093823163956746,755
53,6,119.39337421030594,26.093823163956746,760
54,6,119.39355069305644,26.093823163956746,760
55,7,119.39372717580696,26.09361027127146,765
56,7,119.39390365855746,26.09361027127146,775
57,7,119.39408014130797,26.09361027127146,775
58,7,119.39372717580696,26.093716717614104,768
59,7,119.39390365855746,26.093716717614104,775
60,7,119.39408014130797,26.093716717614104,775
61,7,119.39372717580696,26.093823163956746,768
62,7,119.39390365855746,26.093823163956746,775
63,7,119.39408014130797,26.093823163956746,775
64,8,119.39055048629785,26.093929610299387,692
65,8,119.39072696904836,26.093929610299387,704
66,8,119.39090345179886,26.093929610299387,713
67,8,119.39055048629785,26.094036056642032,692
68,8,119.39072696904836,26.094036056642032,704
69,8,119.39090345179886,26.094036056642032,713
70,8,119.39055048629785,26.094142502984674,692
71,8,119.39072696904836,26.094142502984674,704
72,8,119.39090345179886,26.094142502984674,713
73,9,119.39107993454937,26.093929610299387,713
74,9,119.39125641729987,26.093929610299387,716
75,9,119.39143290005038,26.093929610299387,720
76,9,119.39107993454937,26.094036056642032,713
77,9,119.39125641729987,26.094036056642032,716
78,9,119.39143290005038,26.094036056642032,720
79,9,119.39107993454937,26.094142502984674,713
80,9,119.39125641729987,26.094142502984674,716
81,9,119.39143290005038,26.094142502984674,720
82,10,119.3916093828009,26.093929610299387,720
83,10,119.3917858655514,26.093929610299387,723
84,10,119.3919623483019,26.093929610299387,728
85,10,119.3916093828009,26.094036056642032,720
86,10,119.3917858655514,26.094036056642032,723
87,10,119.3919623483019,26.094036056642032,728
88,10,119.3916093828009,26.094142502984674,720
89,10,119.3917858655514,26.094142502984674,723
90,10,119.3919623483019,26.094142502984674,728
91,11,119.3921388310524,26.093929610299387,728
92,11,119.39231531380291,26.093929610299387,732
93,11,119.39249179655341,26.093929610299387,732
94,11,119.3921388310524,26.094036056642032,728
